Year,Province,Pathogen,Antibiotic,Hospital_ID,Samples_Tested,Resistant_Isolates,Resistance_Rate,Population,GDP_Per_Capita,Healthcare_Expenditure
2023,Islamabad,K.pneumoniae,Ampicillin,H007,443,93,20.993227990970656,2000000,1722.9042333550751,2.8501538136042655
2024,Islamabad,K.pneumoniae,Ampicillin,H003,438,126,28.767123287671232,2000000,1691.586982179433,2.9723318149335682
2015,Punjab,S.aureus,Ampicillin,H023,750,93,12.4,110000000,1201.7171147279441,3.9609130579046905
2016,Punjab,S.aureus,Ampicillin,H015,644,34,5.279503105590062,110000000,1589.3350150901824,2.9291598175186664
2017,Punjab,S.aureus,Ampicillin,H021,716,112,15.64245810055866,110000000,1445.858570560813,3.60371579695493
2018,Punjab,S.aureus,Ampicillin,H037,890,130,14.606741573033707,110000000,1625.7193167228252,3.0994516669306904
2019,Punjab,S.aureus,Ampicillin,H008,347,53,15.273775216138327,110000000,1674.4414404965937,3.1090227362001315
2020,Punjab,S.aureus,Ampicillin,H010,116,7,6.0344827586206895,110000000,1534.5456804614514,2.8355831186054274
2021,Punjab,S.aureus,Ampicillin,H050,749,65,8.678237650200266,110000000,1455.8818786405027,3.9058928390732035
2022,Punjab,S.aureus,Ampicillin,H042,555,156,28.10810810810811,110000000,1773.7309271469712,3.34160463756416
2023,Punjab,S.aureus,Ampicillin,H044,629,185,29.411764705882355,110000000,1663.9439624268562,3.8530940784839913
2024,Punjab,S.aureus,Ampicillin,H034,201,57,28.35820895522388,110000000,1512.5344703905284,3.191893811686896
2015,Sindh,S.aureus,Ampicillin,H010,956,114,11.92468619246862,48000000,1455.1746686920524,3.074565384653397
2016,Sindh,S.aureus,Ampicillin,H022,170,16,9.411764705882353,48000000,1674.1249137092382,3.0754795097745955
2017,Sindh,S.aureus,Ampicillin,H012,458,61,13.318777292576419,48000000,1682.3661635164171,3.596518316422589
2018,Sindh,S.aureus,Ampicillin,H020,495,56,11.313131313131313,48000000,1304.1473757941276,3.5179020860232413
2019,Sindh,S.aureus,Ampicillin,H046,588,112,19.047619047619047,48000000,1538.5425168089569,3.8100899094715714
2020,Sindh,S.aureus,Ampicillin,H017,179,35,19.553072625698324,48000000,1509.390824334696,2.5510199097916484
2021,Sindh,S.aureus,Ampicillin,H046,742,139,18.733153638814017,48000000,1416.2466139532626,2.7898125873180106
2022,Sindh,S.aureus,Ampicillin,H035,326,108,33.12883435582822,48000000,1213.7271218933165,3.3994753705337644
2023,Sindh,S.aureus,Ampicillin,H040,632,224,35.44303797468354,48000000,1522.7341909892857,3.435487092589028
2024,Sindh,S.aureus,Ampicillin,H046,849,243,28.621908127208478,48000000,1533.10085227713,3.724407742382027
2015,KPK,S.aureus,Ampicillin,H030,929,143,15.392895586652314,35000000,1396.5637487825006,3.2143972327467054
2016,KPK,S.aureus,Ampicillin,H015,773,23,2.975420439844761,35000000,1241.0033761058003,3.7160345329903066
2017,KPK,S.aureus,Ampicillin,H024,127,22,17.322834645669293,35000000,1751.0610982775688,2.7723240938503295
2018,KPK,S.aureus,Ampicillin,H049,519,42,8.092485549132949,35000000,1468.2878178544343,3.980777375283651
2019,KPK,S.aureus,Ampicillin,H023,253,75,29.64426877470356,35000000,1735.3848479222506,3.963963653310202
2020,KPK,S.aureus,Ampicillin,H043,740,138,18.64864864864865,35000000,1443.071896629408,2.891709987539798
2021,KPK,S.aureus,Ampicillin,H007,189,25,13.227513227513226,35000000,1610.2382109034806,3.3144727756734937
2022,KPK,S.aureus,Ampicillin,H029,376,106,28.191489361702125,35000000,1700.6877144332975,2.74527621967718
2023,KPK,S.aureus,Ampicillin,H015,475,197,41.473684210526315,35000000,1411.6717991419137,3.02077892574016
2024,KPK,S.aureus,Ampicillin,H023,969,175,18.059855521155832,35000000,1356.2168756034225,3.4417373293545097
2015,Balochistan,S.aureus,Ampicillin,H026,732,67,9.153005464480875,12000000,1372.658867854625,3.637915736413561
2016,Balochistan,S.aureus,Ampicillin,H038,774,79,10.20671834625323,12000000,1351.9728323444724,2.568953464506194
2017,Balochistan,S.aureus,Ampicillin,H046,705,75,10.638297872340425,12000000,1314.0508761629462,3.839811388636008
2018,Balochistan,S.aureus,Ampicillin,H032,111,24,21.62162162162162,12000000,1214.5482011139393,3.8304897756315768
2019,Balochistan,S.aureus,Ampicillin,H007,860,115,13.372093023255813,12000000,1361.0026472713798,3.6915260035311803
2020,Balochistan,S.aureus,Ampicillin,H027,591,95,16.07445008460237,12000000,1639.4980466924608,2.721285387291573
2021,Balochistan,S.aureus,Ampicillin,H042,240,35,14.583333333333334,12000000,1440.9735986497253,3.8082852218067273
2022,Balochistan,S.aureus,Ampicillin,H005,917,222,24.209378407851688,12000000,1717.1103827655315,3.5042575298575684
2023,Balochistan,S.aureus,Ampicillin,H006,644,117,18.16770186335404,12000000,1588.1059715989977,2.502276059007272
2024,Balochistan,S.aureus,Ampicillin,H016,251,35,13.94422310756972,12000000,1446.342402510345,3.051632499671541
2015,Islamabad,S.aureus,Ampicillin,H024,108,12,11.11111111111111,2000000,1788.837774284184,3.312351244385354
2016,Islamabad,S.aureus,Ampicillin,H032,770,64,8.311688311688311,2000000,1758.357071550563,2.513002937543206
2017,Islamabad,S.aureus,Ampicillin,H021,451,31,6.873614190687362,2000000,1665.5353356152773,3.112554235267453
2018,Islamabad,S.aureus,Ampicillin,H011,805,91,11.304347826086957,2000000,1404.5954711269587,3.403473138809204
2019,Islamabad,S.aureus,Ampicillin,H036,483,30,6.211180124223603,2000000,1354.8314767889678,2.8468371123308316
2020,Islamabad,S.aureus,Ampicillin,H044,386,109,28.238341968911918,2000000,1294.8564207181334,2.7025188400875777
2021,Islamabad,S.aureus,Ampicillin,H046,159,24,15.09433962264151,2000000,1722.577405627817,3.7478964338079095
2022,Islamabad,S.aureus,Ampicillin,H019,702,177,25.213675213675213,2000000,1554.3732311110944,3.732721329550259
2023,Islamabad,S.aureus,Ampicillin,H025,710,181,25.492957746478872,2000000,1251.306118676439,2.994227407616563
2024,Islamabad,S.aureus,Ampicillin,H039,473,133,28.118393234672308,2000000,1652.239894028753,2.5106699280440807
2015,Punjab,A.baumannii,Ampicillin,H026,836,109,13.038277511961722,110000000,1293.4698075056076,2.833055158960633
2016,Punjab,A.baumannii,Ampicillin,H009,506,76,15.019762845849801,110000000,1240.5903100501746,3.1718292094301432
2017,Punjab,A.baumannii,Ampicillin,H007,981,206,20.998980632008156,110000000,1272.2165532410145,3.288365592015907
2018,Punjab,A.baumannii,Ampicillin,H034,301,35,11.627906976744185,110000000,1230.5749020539224,2.7191193065373227
2019,Punjab,A.baumannii,Ampicillin,H048,782,68,8.695652173913043,110000000,1494.684941880405,3.3263518788153306
2020,Punjab,A.baumannii,Ampicillin,H013,758,159,20.976253298153033,110000000,1511.1073238309473,3.805245741852559
2021,Punjab,A.baumannii,Ampicillin,H019,850,154,18.11764705882353,110000000,1219.984023179859,3.9271809072233737
2022,Punjab,A.baumannii,Ampicillin,H047,266,53,19.924812030075188,110000000,1610.724624618888,2.850036113872193
2023,Punjab,A.baumannii,Ampicillin,H039,707,172,24.328147100424328,110000000,1753.8417797069997,2.814768427168019
2024,Punjab,A.baumannii,Ampicillin,H004,851,305,35.84018801410106,110000000,1205.7159892749041,3.7377903920132667
2015,Sindh,A.baumannii,Ampicillin,H001,405,49,12.098765432098766,48000000,1660.6461163144559,3.8433540838304907
2016,Sindh,A.baumannii,Ampicillin,H040,603,40,6.633499170812604,48000000,1226.3919526711106,2.979681783588603
2017,Sindh,A.baumannii,Ampicillin,H030,231,29,12.554112554112553,48000000,1717.8937780670822,3.449554333463311
2018,Sindh,A.baumannii,Ampicillin,H030,278,26,9.352517985611511,48000000,1572.5227799266577,3.3274690049001947
2019,Sindh,A.baumannii,Ampicillin,H025,262,59,22.519083969465647,48000000,1491.3048146758229,2.823746625916101
2020,Sindh,A.baumannii,Ampicillin,H016,389,87,22.36503856041131,48000000,1687.7562562935054,3.892266592476517
2021,Sindh,A.baumannii,Ampicillin,H024,688,245,35.61046511627907,48000000,1712.5752492807806,3.615964364260435
2022,Sindh,A.baumannii,Ampicillin,H011,583,134,22.98456260720412,48000000,1410.9753142576665,2.8713488932698965
2023,Sindh,A.baumannii,Ampicillin,H048,567,164,28.92416225749559,48000000,1577.6326701510698,3.156415835255757
2024,Sindh,A.baumannii,Ampicillin,H020,409,136,33.251833740831295,48000000,1731.00739675574,3.9482727393042296
2015,KPK,A.baumannii,Ampicillin,H040,329,36,10.94224924012158,35000000,1707.1639121510088,3.624283262062818
2016,KPK,A.baumannii,Ampicillin,H003,422,33,7.819905213270142,35000000,1361.8069446645677,3.75695843831636
2017,KPK,A.baumannii,Ampicillin,H029,956,158,16.527196652719663,35000000,1347.2628413233906,3.839713746099733
2018,KPK,A.baumannii,Ampicillin,H036,312,58,18.58974358974359,35000000,1460.2828228846192,3.8508012717356905
2019,KPK,A.baumannii,Ampicillin,H044,408,78,19.11764705882353,35000000,1357.6466483529657,3.784734257380478
2020,KPK,A.baumannii,Ampicillin,H022,523,100,19.120458891013385,35000000,1746.870442153886,2.518508766661398
2021,KPK,A.baumannii,Ampicillin,H049,744,152,20.43010752688172,35000000,1614.068817626685,3.748743673088029
2022,KPK,A.baumannii,Ampicillin,H042,360,102,28.333333333333332,35000000,1480.499614449218,3.149632645305246
2023,KPK,A.baumannii,Ampicillin,H020,566,138,24.381625441696116,35000000,1282.1917173452675,2.712386894156225
2024,KPK,A.baumannii,Ampicillin,H011,591,142,24.027072758037225,35000000,1506.1924335546792,2.6068602884188294
2015,Balochistan,A.baumannii,Ampicillin,H008,961,135,14.04786680541103,12000000,1783.785733859986,2.5854547426570207
2016,Balochistan,A.baumannii,Ampicillin,H046,682,115,16.862170087976537,12000000,1310.4567162226886,3.6642339592799544
2017,Balochistan,A.baumannii,Ampicillin,H021,465,123,26.451612903225808,12000000,1555.7623697910458,3.5371656311908737
2018,Balochistan,A.baumannii,Ampicillin,H045,244,62,25.40983606557377,12000000,1516.0280210897326,3.8339395644143224
2019,Balochistan,A.baumannii,Ampicillin,H002,576,137,23.78472222222222,12000000,1653.0723878648132,2.6529603091767058
2020,Balochistan,A.baumannii,Ampicillin,H043,355,81,22.816901408450704,12000000,1355.8209681417793,2.902661236701533
2021,Balochistan,A.baumannii,Ampicillin,H013,197,39,19.796954314720814,12000000,1570.5342516303062,3.0868401415646076
2022,Balochistan,A.baumannii,Ampicillin,H046,628,96,15.286624203821656,12000000,1221.5847546234727,2.9566069175489247
2023,Balochistan,A.baumannii,Ampicillin,H006,288,52,18.055555555555554,12000000,1775.4506405442953,3.6619791351258755
2024,Balochistan,A.baumannii,Ampicillin,H008,366,62,16.939890710382514,12000000,1299.540412472561,2.5786699489690363
2015,Islamabad,A.baumannii,Ampicillin,H044,369,51,13.821138211382115,2000000,1385.3334421757609,3.93415327987168
2016,Islamabad,A.baumannii,Ampicillin,H032,459,42,9.15032679738562,2000000,1443.413306772709,3.6782647088402882
2017,Islamabad,A.baumannii,Ampicillin,H036,260,38,14.615384615384617,2000000,1469.7818082757294,3.5223619535099715
2018,Islamabad,A.baumannii,Ampicillin,H045,773,215,27.8137128072445,2000000,1538.9936857391149,3.892095808405429
2019,Islamabad,A.baumannii,Ampicillin,H014,237,47,19.831223628691983,2000000,1532.1429152972996,3.125319166574627
2020,Islamabad,A.baumannii,Ampicillin,H016,837,146,17.44324970131422,2000000,1714.3487036693841,2.566857758560218
2021,Islamabad,A.baumannii,Ampicillin,H023,992,149,15.020161290322582,2000000,1456.0056057292968,3.779043661779724
2022,Islamabad,A.baumannii,Ampicillin,H033,649,106,16.33281972265023,2000000,1509.2214769218117,2.552430033334531
2023,Islamabad,A.baumannii,Ampicillin,H040,304,46,15.131578947368421,2000000,1517.95700378716,2.5996448702644557
2024,Islamabad,A.baumannii,Ampicillin,H040,879,195,22.18430034129693,2000000,1469.5855490863323,3.810576158342883
2015,Punjab,S.pneumoniae,Ampicillin,H010,390,25,6.41025641025641,110000000,1395.9077549166977,2.9372240828815848
2016,Punjab,S.pneumoniae,Ampicillin,H025,203,27,13.30049261083744,110000000,1719.399361917749,3.866886875242926
2017,Punjab,S.pneumoniae,Ampicillin,H008,286,76,26.573426573426573,110000000,1686.0507169738412,2.767745511024259
2018,Punjab,S.pneumoniae,Ampicillin,H018,132,21,15.909090909090908,110000000,1795.2801675070077,3.4673326574265957
2019,Punjab,S.pneumoniae,Ampicillin,H009,337,60,17.804154302670625,110000000,1459.7295270301402,3.3194115288788453
2020,Punjab,S.pneumoniae,Ampicillin,H007,217,23,10.599078341013826,110000000,1479.574016109109,3.393559594405815
2021,Punjab,S.pneumoniae,Ampicillin,H007,878,200,22.779043280182233,110000000,1487.6745404675603,2.945798954577185
2022,Punjab,S.pneumoniae,Ampicillin,H010,939,234,24.920127795527154,110000000,1728.3592966385186,2.9008221458643675
2023,Punjab,S.pneumoniae,Ampicillin,H024,692,104,15.028901734104046,110000000,1509.1938271187246,2.7296942791435868
2024,Punjab,S.pneumoniae,Ampicillin,H023,871,236,27.09529276693456,110000000,1611.9487459771335,3.4490642128512263
2015,Sindh,S.pneumoniae,Ampicillin,H026,687,111,16.157205240174672,48000000,1306.139255873859,2.7617610483430326
2016,Sindh,S.pneumoniae,Ampicillin,H043,402,48,11.940298507462686,48000000,1481.8147527985275,2.988376027205959
2017,Sindh,S.pneumoniae,Ampicillin,H033,795,146,18.364779874213834,48000000,1611.7749660741538,2.985957756987773
2018,Sindh,S.pneumoniae,Ampicillin,H029,113,16,14.15929203539823,48000000,1216.4238624740392,3.9692279872251675
2019,Sindh,S.pneumoniae,Ampicillin,H010,662,265,40.03021148036254,48000000,1411.6496998351067,3.147843376500532
2020,Sindh,S.pneumoniae,Ampicillin,H013,766,84,10.966057441253264,48000000,1299.9803354032338,2.9898910569027066
2021,Sindh,S.pneumoniae,Ampicillin,H043,686,186,27.113702623906704,48000000,1551.9555873703212,3.6874614695552737
2022,Sindh,S.pneumoniae,Ampicillin,H011,532,114,21.428571428571427,48000000,1373.3107165899128,2.5012784738792107
2023,Sindh,S.pneumoniae,Ampicillin,H025,512,67,13.0859375,48000000,1522.5246438290924,3.07470173726324
2024,Sindh,S.pneumoniae,Ampicillin,H026,521,111,21.30518234165067,48000000,1280.0729263108224,3.5371737357927486
2015,KPK,S.pneumoniae,Ampicillin,H007,335,18,5.3731343283582085,35000000,1585.677817510441,3.673987916437909
2016,KPK,S.pneumoniae,Ampicillin,H025,374,39,10.427807486631016,35000000,1273.6620803363621,2.6565267733531073
2017,KPK,S.pneumoniae,Ampicillin,H023,376,40,10.638297872340425,35000000,1596.362352417782,3.901565361302346
2018,KPK,S.pneumoniae,Ampicillin,H026,148,27,18.243243243243242,35000000,1403.898362070322,3.6920172448735684
2019,KPK,S.pneumoniae,Ampicillin,H032,361,59,16.343490304709142,35000000,1570.317078474909,3.1653813609154895
2020,KPK,S.pneumoniae,Ampicillin,H020,424,45,10.61320754716981,35000000,1697.654082113877,2.5915610240772367
2021,KPK,S.pneumoniae,Ampicillin,H024,852,195,22.887323943661972,35000000,1679.516647523269,3.586323184426874
2022,KPK,S.pneumoniae,Ampicillin,H009,315,45,14.285714285714285,35000000,1307.2435285896063,3.096853297902271
2023,KPK,S.pneumoniae,Ampicillin,H041,353,127,35.977337110481585,35000000,1359.1455912217498,3.3191597958793864
2024,KPK,S.pneumoniae,Ampicillin,H037,243,50,20.5761316872428,35000000,1528.221330838278,3.4778234938858077
2015,Balochistan,S.pneumoniae,Ampicillin,H023,556,45,8.093525179856115,12000000,1401.2771191075444,3.5217573661357164
2016,Balochistan,S.pneumoniae,Ampicillin,H014,974,125,12.833675564681723,12000000,1451.742199016735,3.1327120697824284
2017,Balochistan,S.pneumoniae,Ampicillin,H046,840,175,20.833333333333336,12000000,1596.3904625270516,3.747014774940908
2018,Balochistan,S.pneumoniae,Ampicillin,H006,945,164,17.354497354497354,12000000,1671.6840952634811,2.5386555831646547
2019,Balochistan,S.pneumoniae,Ampicillin,H027,738,123,16.666666666666664,12000000,1304.8529184423387,3.9792559323832393
2020,Balochistan,S.pneumoniae,Ampicillin,H001,801,264,32.958801498127336,12000000,1509.198181796819,2.615047022816725
